id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1417000000538636288,1416952259968069634,2021-07-19 11:25:01 India Standard Time,2021-07-19,11:25:01,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@snghnishant_ @mohitb999 Just heard about it man. Would like to know more on DM.,en,[],[],[],0,0,2,[],[],https://twitter.com/curiousharish/status/1417000000538636288,False,,0,,,,,,,,"[{'screen_name': 'snghnishant_', 'name': 'Nishant Singh', 'id': '866519876780703744'}, {'screen_name': 'mohitb999', 'name': 'Mohit Bhandari', 'id': '1130123095812059137'}]",,,,
1416970822585962496,1416952259968069634,2021-07-19 09:29:04 India Standard Time,2021-07-19,09:29:04,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@mohitb999 in Goa rn? Come home,en,[],[],[],1,0,10,[],[],https://twitter.com/curiousharish/status/1416970822585962496,False,,0,,,,,,,,"[{'screen_name': 'mohitb999', 'name': 'Mohit Bhandari', 'id': '1130123095812059137'}]",,,,
1415577698726907904,1415511347953950723,2021-07-15 13:13:18 India Standard Time,2021-07-15,13:13:18,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@akhil_bits @noahfromgoa @TheResoluteOne @kunksed In,und,[],[],[],0,0,1,[],[],https://twitter.com/curiousharish/status/1415577698726907904,False,,0,,,,,,,,"[{'screen_name': 'akhil_bits', 'name': 'Akhil Singh', 'id': '614305375'}, {'screen_name': 'noahfromgoa', 'name': 'Noah Martins', 'id': '1121421764053987328'}, {'screen_name': 'TheResoluteOne', 'name': 'Mihir Umarye 🏔️🚶', 'id': '326944825'}, {'screen_name': 'kunksed', 'name': 'Raj Kunkolienkar 🦁', 'id': '105437895'}]",,,,
1414599111773278211,1414599111773278211,2021-07-12 20:24:44 India Standard Time,2021-07-12,20:24:44,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,Life update: setup our home office for @bluelearn  in Goa  https://t.co/HlynsuW8Ep,en,"[{'screen_name': 'bluelearn', 'name': 'bluelearn (previously clinify)', 'id': '1393633937960824832'}]",[],['https://pbs.twimg.com/media/E6GqXZ5VUAEh4V6.jpg'],21,9,473,[],[],https://twitter.com/curiousharish/status/1414599111773278211,False,,1,https://pbs.twimg.com/media/E6GqXZ5VUAEh4V6.jpg,,,,,,,[],,,,
1414110415768887297,1413860875744681990,2021-07-11 12:02:50 India Standard Time,2021-07-11,12:02:50,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,"@aryxnsharma Yesterday and day before, yes",en,[],[],[],0,0,2,[],[],https://twitter.com/curiousharish/status/1414110415768887297,False,,0,,,,,,,,"[{'screen_name': 'aryxnsharma', 'name': 'Aryan ⠕', 'id': '1125757371861520389'}]",,,,
1414084008070180868,1413851507020103680,2021-07-11 10:17:54 India Standard Time,2021-07-11,10:17:54,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@randomusements @the_sangle soon soon,en,[],[],[],0,0,2,[],[],https://twitter.com/curiousharish/status/1414084008070180868,False,,0,,,,,,,,"[{'screen_name': 'randomusements', 'name': 'Saurabh Sharma', 'id': '1036563885837275136'}, {'screen_name': 'the_sangle', 'name': 'Gaurav', 'id': '993510750097309699'}]",,,,
1413880221028143110,1413851507020103680,2021-07-10 20:48:07 India Standard Time,2021-07-10,20:48:07,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,"@malikgarv @the_sangle Haan, film karliya",hi,[],[],[],0,0,1,[],[],https://twitter.com/curiousharish/status/1413880221028143110,False,,0,,,,,,,,"[{'screen_name': 'malikgarv', 'name': 'Garv Malik', 'id': '1183634323'}, {'screen_name': 'the_sangle', 'name': 'Gaurav', 'id': '993510750097309699'}]",,,,
1413874036388421633,1413851507020103680,2021-07-10 20:23:33 India Standard Time,2021-07-10,20:23:33,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@abhiiitdelhi @the_sangle Hahaha😂 sure,tl,[],[],[],0,0,0,[],[],https://twitter.com/curiousharish/status/1413874036388421633,False,,0,,,,,,,,"[{'screen_name': 'abhiiitdelhi', 'name': 'Abhishek Agrawal', 'id': '3301112726'}, {'screen_name': 'the_sangle', 'name': 'Gaurav', 'id': '993510750097309699'}]",,,,
1413861101339504642,1413513332863078408,2021-07-10 19:32:09 India Standard Time,2021-07-10,19:32:09,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,@JuliusAlphonso Lol,und,[],[],[],0,0,0,[],[],https://twitter.com/curiousharish/status/1413861101339504642,False,,0,,,,,,,,"[{'screen_name': 'JuliusAlphonso', 'name': 'Julius Alphonso', 'id': '1060721999205617664'}]",,,,
1413860875744681990,1413860875744681990,2021-07-10 19:31:15 India Standard Time,2021-07-10,19:31:15,+0530,1213353622576123905,curiousharish,Harish Uthayakumar,,Yusss! Mohit and Gaurav are building the future of fintech,en,[],[],[],5,0,63,[],[],https://twitter.com/curiousharish/status/1413860875744681990,False,https://twitter.com/mohitb999/status/1413850720441413632,0,,,,,,,,[],,,,
